GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AxoNet,org.la4j,LinearAlgebra.SolverFactory,84,0,0,0,9,0,1,0,1,0
AxoNet,org.la4j,LinearAlgebra.InverterFactory.new LinearAlgebra.InverterFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.InverterFactory.new LinearAlgebra.InverterFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.InverterFactory.new LinearAlgebra.InverterFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra,120,0,2,0,41,0,3,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},9,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFactory() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},6,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFactory() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixPredicate() {...},22,0,6,0,3,0,6,0,3,0
AxoNet,org.la4j,Matrices.new MatrixFactory() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFactory() {...},7,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,Matrices.new MatrixFunction() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
AxoNet,org.la4j,LinearAlgebra.DecompositorFactory.new LinearAlgebra.DecompositorFactory() {...},11,0,0,0,2,0,2,0,2,0
